Num Threads, Speedup, Time
1, 0,0.715617
2, 0.949262, 0.753867
3, 1.33732, 0.535112
4, 1.40263, 0.510198
5, 1.23714, 0.578446
6, 1.65633, 0.43205
7, 1.87911, 0.380828
8, 1.99088, 0.359447
9, 1.99558, 0.358601
10, 1.85273, 0.38625
11, 2.09202, 0.34207
12, 1.87423, 0.381819
13, 2.08088, 0.343902
14, 1.9789, 0.361623
15, 1.95237, 0.366539
16, 1.43273, 0.499476
17, 1.69884, 0.42124
18, 0.96846, 0.738923
19, 1.3815, 0.518002
20, 1.616, 0.442833
21, 0.452418, 1.58176
22, 0.629411, 1.13696
23, 0.802265, 0.891996
24, 1.31743, 0.543193
25, 0.284778, 2.51289
26, 0.481539, 1.48611
27, 0.85667, 0.835347
28, 0.274275, 2.60912
29, 0.256285, 2.79227
30, 0.864253, 0.828018
