Num Threads, Speedup, Time
1, 0,0.206261
2, 1.23397, 0.167153
3, 1.19716, 0.172293
4, 2.1189, 0.0973438
5, 2.56626, 0.0803744
6, 2.6383, 0.0781797
7, 2.6551, 0.077685
8, 3.09901, 0.0665571
9, 3.16616, 0.0651457
10, 2.58185, 0.0798892
11, 3.29142, 0.0626664
12, 2.90093, 0.0711018
13, 2.94213, 0.0701063
14, 2.11253, 0.0976371
15, 2.49087, 0.0828071
16, 1.91538, 0.107687
17, 1.34087, 0.153826
18, 1.78751, 0.115391
19, 1.55046, 0.133033
20, 1.81836, 0.113433
21, 1.51122, 0.136487
22, 1.05152, 0.196156
23, 1.19453, 0.172671
24, 1.63244, 0.126351
25, 2.17746, 0.0947258
26, 2.30236, 0.0895872
27, 2.05547, 0.100347
28, 1.17243, 0.175926
29, 1.18919, 0.173447
30, 2.15905, 0.0955334
